,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
CONTENUS,CTN-2.03,B,B,B,Réduire l'empreinte des contenus statiques,De quelles images peut-on se passer (pas utile à la compréhension du service) ?,"Le poids et donc son impact d'une image est sans commune mesure avec du texte. Chaque fois que le choix d'utilisation d'une image est fait, il doit être justifié. Une image peut être nécessaire voir contractuelle (image d'un produit sur un service de vente en ligne) ou ne servir qu'à un remplissage d'espace dans le contenu. Réduire le nombre d'images diminue l'impact d'utilisation du service.",Conception,Les images non porteuses de valeur sont-elles supprimées ?,,,,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Images analysées,Images,High,OnUpdate,Tests navigation,,,,,,
CONTENUS,CTN-2.04,A,B,B,Réduire l'empreinte des contenus statiques,"Est-ce que du texte peut remplacer certains types d'images (icons, picto...)","Le poids et donc son impact d'une image est sans commune mesure avec du texte. Chaque fois que le choix d'utilisation d'une image est fait, il ne doit pas pouvoir être remplacé par un texte simple. Réduire le nombre d'images diminue l'impact d'utilisation du service.",Conception,Combien d'images comportent uniquement du texte ?,,,Pidila-336,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Images analysées,Images,High,OnUpdate,Les parcours utilisateur présentent les images exposées dans le service et la valeur ajoutée des informations proposées par ces objets,,,,,,
CONTENUS,CTN-2.05,B,A,B,Réduire l'empreinte des contenus statiques,Une alternative aux images est-elle systématiquement disponible ?,Les assistants d'accessibilité doivent pouvoir utiliser une description de l'information portée par l'image afin de permettre une bonne compréhension du service sans la vision de l'image.,Conception,Chaque image dispose-t-elle d'un texte alternatif ?,Avez-vous testé le service avec un assistant d'accessibilité (lecteur d'écran) ?,,CF RGAA 4 critères 1.1 à 1.9,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH ; #LEG,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Images analysées,Images,High,OnUpdate,Code source / CHROME : extension lighthouse - Accessibilité,,,Y,#SCRIPT,*,Outils parser code
CONTENUS,CTN-2.C01,B,B,C,Réduire l'empreinte des contenus statiques,La superposition d'information est-elle supprimée ?,La prolifération d'informations superposées rend le service plus difficile à comprendre et à utiliser par des publics moins familiers avec les technologies ou ceux pour lesquels la technologie ne peut être perçu facilement.,Réalisation,Les pop-up sont-elles utiles et indispensables à la compréhension du service ou d'un message ?,,,,,CONSEIL,N/A,,,,,,,,,,Navigation / code source,,,,,,
CONTENUS,CTN-2.06,C,C,B,Réduire l'empreinte des contenus statiques,L'impact de l'internationalisation (multi-langues ...) est-il évalué ?,La gestion multi-langues ajoute une volumétrie conséquente de messages traduits dans les différentes langues. Certaines langues imposent des encodages de caractères multi-Bytes plus consommateurs d'espace mémoire.,Réalisation,Combien de langues utilisez-vous ?,Sont-elles toutes utiles vis-à-vis du public attendu/réel ?,Combien sont des langues multi bytes ?,,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,Fiche de cadrage projet,,,,,,
CONTENUS,CTN-2.07,B,C,B,Réduire l'empreinte des contenus statiques,Le nombre de polices différentes est-il limité ?,Chaque police est encodée dans un fichier présentant tous les symboles associés ce qui représente un volume de données important échangé et manipulé. ,Réalisation,Combien de polices différentes sont utilisées ?,Un subset est-il utilisé pour limiter la volumétrie avec un format optimisé ?,,,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,,,,High,OnUpdate,Code source / CHROME ,,,Y,#SCRIPT,*,Outils parser code
CONTENUS,CTN-2.08,B,C,B,Réduire l'empreinte des contenus statiques,Privilégiez-vous les polices système ?,Les polices systèmes sont embarquées dans les outils de présentation et ne sont pas véhiculées. Les flux sont donc réduits lorsqu'elles sont utilisées.,Réalisation,Quelles sont les polices systèmes VS les webfonts ?,,,Opquast 17 / GreenIt 29,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,,,,High,OnUpdate,Code source / CHROME ,,,Y,#SCRIPT,*,Outils parser code
CONTENUS,CTN-2.C02,B,B,B,Réduire l'empreinte des contenus statiques,Est-ce que la mise en forme du formulaire est minimale (afin de ne pas surcharger le code pour des styles peu utiles) ?,"Les balises de mise en forme génèrent un volume supplémentaire de données échangées et manipulées, réduire ces éléments permet d'optimiser les traitements et les échanges",Réalisation,Combien de zones de saisie sont disponibles sur les formulaires ?,L'enchaînement des zones de saisie est-il validé avec les touches clavier ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-2.09,B,B,B,Réduire l'empreinte des contenus statiques,Est-ce que le formulaire permet à l'utilisateur de désactiver les fonctions dynamiques (ex: auto completion),"Certaines fonctions lorsqu'elles sont activées vont utiliser des ressources de calcul et des échanges réseaux, c'est le cas des systèmes d'auto-complétion qui peuvent être utiles pour certains publics dont l'expression écrite n'est pas très fluide mais qui sont superflus pour des utilisateurs plus autonomes.",Réalisation,Les saisies dans le formulaire ne nécessitent-t-elles pas d'échanges superflus ?,,,,,RECO,**,,,#PERF ; #VOL ; #SEC ; #USE ; #COM ; #VALUE ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,Medium,OnUpdate,Code source,,,,,,
CONTENUS,CTN-2.10,C,B,B,Réduire l'empreinte des contenus statiques,Est-ce que les formulaires sont utiles (exemple : ne pas créer de compte pour l'achat d'un produit/service - e-commerce) ?,"Les formulaires de saisie, outre la gestion technique et leurs impacts (traitements, échanges réseaux) nécessitent des interactions de la part de l'utilisateur qui peuvent s'avérer contraignantes pour certains publics.",Conception,Avez-vous vérifié que toutes les données collectées sont en rapport avec l'action utilisateur ?,,,,,RECO,*,,,#PERF ; #VOL ; #SEC ; #USE ; #COM ; #VALUE ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Parcours utilisateur,,,,,,
CONTENUS,CTN-2.C03,C,B,B,Réduire l'empreinte des contenus statiques,"Est-ce que le blocage des robots et accès non sollicités sont traités par des solutions peu coûteuses (captcha vs ""addition"" , ....) ?","La protection vis à vis des automates peut mettre en oeuvre des techniques qui génèrent une charge d'échange importante (images multiples par exemple) d'autres techniques sont plus légères de ce point de vue pour bloquer les accès ""non humains""",Réalisation,Quelle solution de validation utilisez-vous ?,,,Critère RGAA 1.5,,CONSEIL,N/A,,,,,,,,,,,,,Y,#SCRIPT,**,Outils parser code
CONTENUS,CTN-2.11,C,B,B,Réduire l'empreinte des contenus statiques,"Lorsque des listes de sélection sont disponibles, sont-elles limitées aux valeurs pertinentes pour l'utilisateur du service ?","Lors des saisies de données à partir de listes, le volume des listes peut fournir des entrées qui n'ont aucun intérêt et génèrent un volume totalement inutile, par exemple une liste de pays de l'Afghanistan au Zimbabwe pour un service franco-français pour lequel le pays n'est pas une donnée critique, par exemple des choix :  France, Europe, Autre suffiraient",Réalisation,Avez-vous dans les listes (pays par exemple) des éléments inutiles (AUSTRALIE par exemple pour un service franco-français) ?,,,,,RECO,**,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Listes analysées,Listes de sélections,Low,OnUpdate,Navigation / code source,,,Y,#SCRIPT,**,Outils parser code
CONTENUS,CTN-3,,,,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",,,,,,,,,,,ODD#12 ; ODD#13,,,,,,,,,,,,,,,
CONTENUS,CTN-3.C01,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Avez-vous limité les animations ?,"Le traitement des animations consomme des ressources techniques et détourne l'attention des utilisateurs, de plus les animations sont généralement dépendantes de caractéristiques techniques des terminaux et génèrent des incompatibilités qui poussent artificiellement  au renouvellement des équipements.",Conception,Utilisez-vous des carrousels ? sont-ils utiles à la compréhension du service ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-3.01,A,C,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur","Est-ce que l'utilisation de Flash est supprimée, remplacée par un autre effet?","Les technologies Flash (en fin de vie) utilisent beaucoup de ressources techniques sur le terminal utilisateur et demandent un suivi et des mises à jour de versions fréquentes, avec des limites de ""rétro-compatibilité"" fortes conduisant à une obsolescence anticipée des périphériques.",Réalisation,Avez-vous supprimé l'utilisation de flash dans le service ?,,,Opquast 14 / GreenIT 115,,RECO,**,,,#PERF ; #VOL ; #USE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Appels flash supprimés,Appels flash,High,OnUpdate,Le code source est analysé pour rechercher les utilisation de flash et les supprimer,,,Y,#SCRIPT,*,Outils parser code
CONTENUS,CTN-3.02,A,A,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Les contenus actifs sont-ils déclenchés uniquement sur action de l'utilisateur ?,Les contenus actifs utilisent des ressources techniques pour fonctionner. L'activité de ces composants doit être lancée à la demande de l'utilisateur pour éviter de consommer de l'énergie inutilement.,Réalisation,"Si un carrousel est par exemple présent dans le service, est-il activable uniquement sur action de l'utilisateur (pas d'autoplay) ?",,,"RGAA Critère 13.8
Cf opquast 121 Les animations, sons et clignotements peuvent être mis en pause.",,RECO,**,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Contenus analysés,Contenus actifs,High,OnUpdate,Les validations de parcours utilisateur couvrent la recherche de comportments du service ou l'utilisateur n'a pas l'initiative de l'opération,,,Y,#SCRIPT,***,Outils parser code
CONTENUS,CTN-3.03,B,A,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que le contenu animé est sur la partie visible de l'écran (pas d'animation déclenchée sous la partie active de l'écran),"La présentation d'un service est rarement contenue sur la surface de l'écran et du scrolling ou de la pagination sont nécessaires. Les animations demandées par l'utilisateur peuvent être en dehors de la zone visible. Afin de réduire la consommation de ressources inutiles, toutes les animations non directement visibles doivent être stoppées.",Réalisation,Comment bloquez-vous les diffusions pour les contenus hors de la zone visible ?,,,"RGAA Critère 4.10
CF opquast 119 les vidéos sont déclenchées par l'utilisateur 
CF opquast 120 les sons sont déclenchées par l'utilisateur 
CF Opquast 122 Le déroulement des animations ne bloque pas la navigation ou l'accès aux contenus.",,RECO,**,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Contenus analysés,Contenus actifs,High,OnUpdate,Navigation,,,,,,
CONTENUS,CTN-3.C02,B,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que la durée des contenus animés ayant été validés comme nécessaire est optimisée ?,"La durée totale des animations utilise des ressources. Le fait de réduire la durée et de ne pas les faire jouer en boucle permet, lorsque les animations sont indispensables, de réduire l'impact de consommation. ",Conception,Quelle durée est associée à chaque contenu animé ?,Avez-vous désactivé les replay en boucle ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-3.C03,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur","Quelles sont les vidéos réellement porteuses de sens et utiles à la compréhension du service (exemples: logo, images liens, images contractuelles...) ?","Les flux vidéo sont dans les usages de service numérique l'un des éléments qui consomme le plus de ressources de traitement, de volume d'échange. Les vidéos doivent être limitées aux cas où elles apportent une valeur importante. La vidéo n'est pas accessible pour certains publics et doit donc être limitée.",Conception,Combien de vidéos comporte le service ?,Quelle durée cumulée représente l'ensemble des vidéos ?,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-3.04,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",De quelles vidéos peut-on se passer (pas utile à la compréhension du service) ?,"Les flux vidéo sont dans les usages de service numérique l'un des éléments qui consomment le plus de ressources de traitement, de volume d'échange. Les vidéos doivent être limitées aux cas où elles apportent une valeur importante. La vidéo n'est pas accessible pour certains publics et doit donc être limitée. En revanche, elle peut aussi permettre une perception plus simple d'un service.",Conception,Avez-vous validé que la vidéo apporte une valeur pour le service ?,,,,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Vidéos analysées,Vidéos,High,OnUpdate,Les parcours utilisateur présentent les objets média et la valeur ajoutée des informations proposées par ces objets,,,,,,
CONTENUS,CTN-3.05,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que l'information portée par la vidéo peut être remplacée par une alternative (infographie...),"Les informations apportées par la vidéo sont souvent transposables de manière à être proposées sous forme statique, nettement moins consommatrices de ressources.",Conception,"Combien de vidéos avez-vous transformé, par exemple en infographie qui réduit l'impact NR ?",La solution vidéo ou des alternatives ont-elle été évaluées du point de vue NR ?,,,,RECO,*,,INCONTOURNABLE,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Vidéos analysées,Vidéos,High,OnUpdate,Les vidéos portent des méta-datas permettant de valider la pertinence du contenu et de le restituer sous une autre forme ,,,,,,
CONTENUS,CTN-3.C04,B,C,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que les alternatives au streaming (vs vidéo locale) ont été évaluées ?,Le chemin total parcouru par les flux vidéo génère à chaque étape un impact environnemental. Les solutions pour réduire la longueur de ce chemin sont bénéfiques.,Réalisation,Les évaluations de charges des vidéos entre streaming et hébergement local sont-elles toutes disponibles et utilisées ? ,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-3.06,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que la durée des vidéos ayant été validées comme nécessaires est optimisée ?,"L'impact des flux vidéo est lié à la durée de la vidéo, à la qualité des images et du son, au nombre de diffusion. Réduire la durée est l'un des leviers facilement gérable pour réduire l'impact.",Réalisation,Avez-vous une phase de post-production sur les vidéos pour réduire la durée avec un montage efficace ?,,,,guides : theshiftproject.org et ecoprod.com ,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Vidéos analysées,Vidéos,High,OnUpdate,"Les vidéos font l'objet d'une post-production pour réduire la durée des éléments sans valeur et proposer un ""chapitrage"" ",,,,,,
CONTENUS,CTN-3.C05,A,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que la diffusion de sessions live est utile ?,Le nombre de flux diffusés multiplie par autant l'impact environnemental de la vidéo.,Réalisation,Le nombre de participants sur les sessions en direct est-il limité ?,,,CF opquast 116 et 117 et 118,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-3.07,C,A,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que le son de la vidéo peut-être restitué sous forme texte ?,L'accès au son est difficile ou impossible pour certains publics. La fourniture d'un texte en support ou remplacement du son est indispensable.,Réalisation,Avez-vous une piste de sous-titre pour chaque vidéo ?,,,,,RECO,**,,,#PERF ;  #USE ;  #COM ; #VALUE ; #LEG,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Navigation,,,Y,#PROCESS,***,Outils simulateurs
CONTENUS,CTN-3.C06,B,B,B,"Eviter les contenus actifs, conserver les contenus dynamiques sous contrôle de l'utilisateur",Est-ce que les CODECS des sons sont compressés au maximum ?,"Le volume de données utilisé par la qualité des sons peut être réduit avec une précision, une qualité sonore plus basse. Les mécanismes de compression audio (CODEC) vont réduire le volume de données échangées mais demander plus de ressources CPU pour décoder et restituer les sons sur le périphérique utilisateur. ",Réalisation,La qualité du son est-elle réduite et testée pour rester compréhensive ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,Y,#PROCESS,***,Outils simulateurs
CONTENUS,CTN-4,,,,Faciliter la perception des contenus par l'utilisateur,,,,,,,,,,,ODD#10 ; ODD#12,,,,,,,,,,,,,,,
CONTENUS,CTN-4.C01,A,C,B,Faciliter la perception des contenus par l'utilisateur,Chaque contenu vidéo est-il associé à une durée de vie ?,Les vidéos peuvent être des faits d'actualité qui n'ont que peu d'intérêt en dehors de la période où elle a été produite. Généralement ces informations sont disponibles lors de la création et doivent être utilisées pour supprimer la vidéo après un délai défini. Cela libère de l'espace de stockage et évite aux utilisateurs de consulter des documents périmés.,Fin de Vie,A t-on défini une stratégie de cycle de vie d'une vidéo ?,,,CF RGAA 4 critères 4.1 à 4.13,pour mesurer : carbonclap.ecoprod.com,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-4.C02,B,B,B,Faciliter la perception des contenus par l'utilisateur,"A t-on défini la proportion des contenus de type flux (contenus chauds de type actu...) et stock (contenus froid, longue traîne en SEO) ?","Les contenus liés à un événement ou une actualité sont peu intéressants après un certain temps. Toutes ces informations doivent être utilisées pour que les informations périmées soient supprimées ou si nécessaire retravaillées pour réduire leurs tailles, et enfin être mis à disposition des utilisateurs sur des liens d'archives pour bien exprimer que ces contenus sont anciens. Conserver les contenus anciens peut être utile pour conserver les référencement SEO acquis.",Fin de Vie,Comment les contenus récents sont-ils mis en avant ?,Le volume des contenus froids est-il réduit et suivi régulièrement ?,Tous les contenus ont-ils une date d'expiration ?,CF Opquast 1 et 6,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-4.01,B,C,B,Faciliter la perception des contenus par l'utilisateur,Les contenus sont-ils uniques dans tout le service ?,"Outre les espaces de stockage supplémentaires et la confusion pour l'utilisateur que la duplication de contenus amène, d'un point de vue SEO, ces duplications sont inefficaces.",Réalisation,Avez-vous un suivi des contenus dupliqués ?,,,,,RECO,*,,,#VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Contenus uniques,Contenus,Low,Periodic,File system,,,,,,
CONTENUS,CTN-4.02,A,B,B,Faciliter la perception des contenus par l'utilisateur,Les notifications utilisateurs sont-elles nécessaires et désactivables par l'utilisateur ?,"Les méthodes de notifications peuvent employer des technologies consommatrices de ressources et certaines pratiques visent à les multiplier ce qui augmente l'empreinte environnementale du service. Réduire les notifications, utiliser des mécanismes légers, et permettre à l'utilisateur de désactiver ces notifications est utile pour réduire les consommations d'énergie ainsi que le détournement d'attention des utilisateurs.",Utilisation,"Quelles sont les méthodes de notification utilisateur ? L'utilisateur a-t-il le choix des mécanismes de notification, de leur fréquence pour lui éviter de tout recevoir par défaut ?",L'abonnement sur un flux RSS est-il proposé comme alternative à des notifications spontanées de type push ?,,,,RECO,**,,,#VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Notifications analysées,Notifications,Medium,OnUpdate,Les validation des parcours utilisateurs identifient les notifications utilisateurs et les possibilité de désactivation de ces notifications,,,,,,
CONTENUS,CTN-4.03,B,A,B,Faciliter la perception des contenus par l'utilisateur,Est-ce que la validité des données est contrôlée avant la soumission du formulaire ?,"Les saisies de données dans les formulaires sont sources d'erreurs. Si les données ne sont contrôlées qu'après soumission du formulaire, le nombre d'échanges va augmenter. Le contrôle du format des données attendues avant l'envoi au serveur permet de réduire les transferts de données et les traitements inutiles.",Utilisation,"Avez-vous une plage de valeur, un format associé à chaque zone de saisie ?",Les données attendues dans chaque champ sont-elles clairement exprimées et contrôlées au plus tôt après leur saisie par l'utilisateur ?,,,,RECO,*,,,#PERF ; #VOL ;  #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;,(X / Y ) * 100,Données validées en local,"Données ""formelles""",Medium,OnUpdate,Navigation / CHROME : Network,,,Y,#SCRIPT,**,Outils simulateurs
CONTENUS,CTN-4.C03,B,A,B,Faciliter la perception des contenus par l'utilisateur,La présentation des informations est-elle accessible sans générer une cascade de zones de présentations dynamiques ?,"Le dynamisme des affichages peut être perçu comme un critère de modernité, mais cela génère des calculs et traitements permanents qui sont une source de consommation, et l'attention de l'utilisateur peut être perturbée par des actions spontanées qu'il n'a pas déclenché.",Utilisation,Chaque information est-elle visible sans superposition ni  recalcul intempestif ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-4.04,B,A,B,Faciliter la perception des contenus par l'utilisateur,Chaque élément actif dispose-t-il d'un nom permettant de comprendre l'action qui sera réalisée par son utilisation ?,Le dynamisme des interfaces peut ne pas être appréhendé par certains publics ou certains assistants d'accessibilité. Il est indispensable que chaque élément actif puissent être décrit pour que l'utilisateur comprenne le mode de fonctionnement.,Utilisation,Avez-vous validé que chaque élément est bien pris en charge par un lecteur d'accessibilité (lecteur d'écran)?,"Utilisez vous toujours les mêmes termes pour les mêmes actions, en précisant systématiquement le contexte ?",Chaque action est-elle toujours située dans le parcours ? ,Critères RGAA 6.1 11.9,,RECO,*,,,#USE ; #COM ; #VALUE ; #METH ; #LEG,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Actions analysées,Actions user,High,OnUpdate,Code source / CHROME : Lighthouse / accessibilité,,,Y,#SCRIPT,*,Outils parser code
CONTENUS,CTN-5,,,,Assurer la liaison entre les contenus et usages,,,,,,,,,,,ODD#10 ; ODD#12,,,,,,,,,,,,,,,
CONTENUS,CTN-5.C01,B,B,A,Assurer la liaison entre les contenus et usages,Les informations de tracking de SEO sont-elles suivies et rationalisées afin de ne pas collecter d'éléments inutiles ?,"Le suivi de l'activité des utilisateurs dans le service peut engendrer la collecte d'un volume important d'informations qui seront échangées avec les moteurs SEO. Ces collectes sont utiles lorsqu'elles permettent de fournir plus efficacement les informations aux utilisateurs et de faciliter leurs parcours, elles sont parasites et gaspillées lorsqu'elles ne sont pas utilisées.",Administration,Avez-vous validé que chaque information de tracking SEO est bien utilisée ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-5.01,B,B,B,Assurer la liaison entre les contenus et usages,Est-ce que tous les liens et images-liens sont utiles ?,Les contenus utilisent des références externes plutôt que dupliquer des informations. Le renvoi vers ces sources externes met en oeuvre des mécanismes techniques et consomment des ressources qui doivent avoir une valeur.,Utilisation,Comment présentez-vous à l'utilisateur le fait qu'il s'agit d'un lien interne ou externe ?,,,,,RECO,*,,,#USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Liens validés,Liens,Low,Periodic,Navigation / parcours utilisateur,,,,,,
CONTENUS,CTN-5.02,B,B,B,Assurer la liaison entre les contenus et usages,A t-on vérifié que les urls de destination sont bien valides ?,"Les contenus utilisent des références externes plutôt que de dupliquer des informations. Chaque lien est susceptible d'être activé et générera une requête réseau, elle doit donc être valide. Dans le cas contraire, l'utilisateur risque de ne pas comprendre la source de l'erreur et générer de multiples tentatives infructueuses avec l'utilisation de ressources techniques sans aucun résultat.",Administration,A quelle fréquence contrôlez-vous les liens ?,,,,,RECO,*,,,#USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Liens validés,Liens,Low,Periodic,Navigation / parcours utilisateur,,,Y,#SCRIPT,*,Outils simulateurs
CONTENUS,CTN-5.C02,B,A,A,Assurer la liaison entre les contenus et usages,Les textes mis à disposition des utilisateurs sont-ils adaptés à des publics cibles éloignés de la lecture de contenus électroniques (illectronisme) ?,La compréhension de textes sur un support numérique peut être difficile pour des publics éloignés de ces technologies ou avec un confort visuel ou littéraire restreint. L'illectronisme doit être pris en compte dans les choix éditoriaux des services pour inclure le plus de personnes.,Utilisation,Combien de mots par paragraphe sont affichés sur chaque page ?,"Le vocabulaire utilisé est-il réduit ? Combien de mots, quel nombre de lettres par mot ?",,,,CONSEIL,N/A,,,,,,,,,,,,,Y,#SCRIPT,**,Outils contrôle de vocabulaire complexité des paragraphes
CONTENUS,CTN-5.C03,B,B,B,Assurer la liaison entre les contenus et usages,A t-on réduit au minimum le nombre de champs (exemple : les champs non obligatoires sont-ils nécessaires ?),"Les formulaires de saisie sont l'occasion de collecter des données de la part de l'utilisateur. Lorsque ces données ne sont pas indispensables, elles génèrent tout de même des impacts d'échange, de stockage et de sauvegarde. La réglementation encadre les données à caractère personnel et médicales. Toutes les données fournies par un utilisateur doivent être traitées avec la même parcimonie et respect.",Réalisation,Collectez-vous des données facultatives qui ne font l'objet d'aucun traitement ?,,,,,CONSEIL,N/A,,,,,,,,,,,,,,,,
CONTENUS,CTN-5.03,C,A,B,Assurer la liaison entre les contenus et usages,Les données utilisateurs collectées et exposées sont-elles clairement identifiées comme données personnelles et/ou sensibles lorsque c'est le cas?,"La notion de données personnelles fait l'objet d'une définition légale, qui n'est pas toujours connue par les utilisateurs et donc les règles associées à la protection des données personnelles peuvent être ignorées. Pour garantir que l'utilisateur dispose du bon niveau d'information, il est important que les données à caractère personnel et plus encore les données sensibles soient clairement identifiées comme telles.",Utilisation,Combien de données personnelles couvertes par le RGPD collectez-vous ?,Combien sont des données sensibles ?,,RGPD,,RECO,*,,,#SEC ; #USE ; #COM ; #VALUE ; #METH ; #LEG,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Informations données personnelles,Données personnelles,High,OnUpdate,Liasse RGPD,,,,,,
CONTENUS,CTN-5.04,B,B,B,Assurer la liaison entre les contenus et usages,L'utilisateur peut-il personnaliser la fréquence et le périmètre des contenus diffusés ?,"Les services numériques peuvent avoir besoin de garder le contact avec leurs utilisateurs, le plus souvent au travers de communications automatiques (newsletter par exemple). Ces diffusions en masse génèrent des coûts environnementaux de création de ces contenus, de diffusion, de consultation ou stockage (volontaire ou non) par l'utilisateur. Le volume de communication doit pouvoir être réglé par l'utilisateur, de même que le périmètre du contenu pour correspondre à ses attentes uniquement. La réglementation impose déjà l'acceptation explicite (opt-In) pour recevoir ce type de communications",Utilisation,Quelle est votre fréquence d'émission de contenus ?,Quel est le volume mensuel total de toutes vos diffusions?,Le Optin RGPD est-il systématique ?,CF Opquast 170 : La désinscription depuis une newsletter ne demande pas de confirmation par courriel.,,RECO,**,,,#VOL ; #USE ; #COM ; #VALUE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,Parcours utilisateurs,,,,,,
CONTENUS,CTN-5.05,A,C,A,Assurer la liaison entre les contenus et usages,"Les documents à télécharger sont-ils compressés, optimisés et accessibles ?",Les documents disponibles pour l'utilisateur dans le service doivent être compressés pour réduire les impacts liés aux transferts de ces données.,Déploiement,Tous vos documents sont-ils compressés ?,Les tailles et  formats des fichiers sont-ils connus de l'utilisateur avant son opération de téléchargement ?,,PIDILA-443 / Opquast 108-109 / CF 115 bonnes pratiques d'écoconception (BP n°108 and 109),,RECO,*,,INCONTOURNABLE,#VOL ; #USE ; #METH,Dev ; Designer ;  ProductOwner,(X / Y ) * 100,Documents compressés,Documents disponibles,High,OnUpdate,"Les tests de navigation / parcours utilisateur couvrent les téléchargements, les outils de développement des navigateurs permettent de suivre les volumes de données (ex:  CHROME - network)",,,Y,#SCRIPT,**,Outils simulateurs
